,index,item,category,price,price in euros,count,revenue,assortment,assortment_row,assortment_column
59,59,white wine,drinks,890.0,10.93,176,156640.0,2x1,2,1
14,14,bottled beer,drinks,200.0,2.46,687,137400.0,2x2,2,2
13,13,canned beer,drinks,135.0,1.66,717,96795.0,2x3,2,3
61,61,red/blush wine,drinks,540.0,6.63,157,84780.0,2x4,2,4
22,22,fruit/vegetable juice,drinks,140.0,1.72,518,72520.0,2x5,2,5
26,26,coffee,drinks,90.0,1.11,476,42840.0,2x6,2,6
123,123,rum,drinks,1000.0,12.28,32,32000.0,1x1,1,1
3,3,soda,drinks,20.0,0.25,1514,30280.0,1x2,1,2
48,48,misc. beverages,drinks,120.0,1.47,238,28560.0,1x3,1,3
116,116,brandy,drinks,650.0,7.98,38,24700.0,1x4,1,4
141,141,prosecco,drinks,1000.0,12.28,19,19000.0,1x5,1,5
7,7,bottled water,drinks,20.0,0.25,933,18660.0,1x6,1,6
75,75,liquor,drinks,150.0,1.84,103,15450.0,3x1,3,1
96,96,liquor (appetizer),drinks,150.0,1.84,67,10050.0,3x2,3,2
46,46,beverages,drinks,40.0,0.49,251,10040.0,3x3,3,3
157,157,whisky,drinks,900.0,11.06,8,7200.0,3x4,3,4
108,108,sparkling wine,drinks,100.0,1.23,46,4600.0,3x5,3,5
154,154,liqueur,drinks,500.0,6.14,9,4500.0,3x6,3,6
130,130,tea,drinks,110.0,1.35,27,2970.0,4x1,4,1
99,99,instant coffee,drinks,20.0,0.25,61,1220.0,4x2,4,2
146,146,cocoa drinks,drinks,50.0,0.61,16,800.0,4x3,4,3
8,8,sausage,non-veg,100.0,1.23,924,92400.0,2x1,2,1
44,44,meat,non-veg,340.0,4.18,254,86360.0,2x2,2,2
20,20,pork,non-veg,150.0,1.84,566,84900.0,2x3,2,3
23,23,beef,non-veg,150.0,1.84,516,77400.0,2x4,2,4
28,28,chicken,non-veg,180.0,2.21,422,75960.0,1x1,1,1
17,17,frankfurter,non-veg,100.0,1.23,580,58000.0,1x2,1,2
35,35,hamburger meat,non-veg,150.0,1.84,327,49050.0,1x3,1,3
19,19,domestic eggs,non-veg,80.0,0.98,566,45280.0,1x4,1,4
43,43,ham,non-veg,150.0,1.84,256,38400.0,3x1,3,1
